versionUri	language	subcorpus	uncorrected_OCR	date	author_ar	author_lat	book	title_ar	title_lat	ed_info	id	status	tok_length	char_length	url	tags	author_from_uri	author_lat_shuhra	author_lat_full_name	city_ar	city_lat	institution_ar	institution_lat	shelfmark	catalog_ref	parts
0026KacbIbnZuhayr.Diwan.JK007537-ara1	ara	ara	False	0026	كعب بن زهير	Kacb Ibn Zuhayr	0026KacbIbnZuhayr.Diwan	ديوان كعب بن زهير	Diwan		JK007537	pri	6844	27211	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0026KacbIbnZuhayr/0026KacbIbnZuhayr.Diwan/0026KacbIbnZuhayr.Diwan.JK007537-ara1	GAL@literature-arabic :: _SHICR :: GAL@literature-national :: _MUKHADRAM :: JK@دواوين الشعر العربي :: JK@مخضرم :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Kacb Ibn Zuhayr									
0026KacbIbnZuhayr.Diwan.ShamAY0037833-ara1	ara	ara	False	0026	كعب بن زهير بن أبي سلمى، المزني، أبو المضرب شاعر مخضرم :: كعب بن زهير	Kacb Ibn Zuhayr	0026KacbIbnZuhayr.Diwan	ديوان كعب بن زهير :: ديوان كعب بن زهير 	Diwan		ShamAY0037833	sec	6211	26210	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0026KacbIbnZuhayr/0026KacbIbnZuhayr.Diwan/0026KacbIbnZuhayr.Diwan.ShamAY0037833-ara1	GAL@literature-arabic :: _SHICR :: GAL@literature-national :: _MUKHADRAM :: JK@دواوين الشعر العربي :: JK@مخضرم :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE	Kacb Ibn Zuhayr									
0030CurwaIbnHizam.Diwan.JK007555-ara1	ara	ara	False	0030	عروة بن حزام	Curwa Ibn Hizam	0030CurwaIbnHizam.Diwan	ديوان عروة بن حزام	Diwan		JK007555	pri	1913	7638	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0030CurwaIbnHizam/0030CurwaIbnHizam.Diwan/0030CurwaIbnHizam.Diwan.JK007555-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@أموي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Curwa Ibn Hizam									
0030CurwaIbnHizam.Diwan.ShamAY0037960-ara1	ara	ara	False	0030	عروة بن حزام بن مهاجر الضني من بني عذرة المتوفى سنة ( 30ه 650م) :: عروة بن حزام	Curwa Ibn Hizam	0030CurwaIbnHizam.Diwan	ديوان عروة بن حزام  :: ديوان عروة بن حزام	Diwan		ShamAY0037960	sec	1738	7305	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0030CurwaIbnHizam/0030CurwaIbnHizam.Diwan/0030CurwaIbnHizam.Diwan.ShamAY0037960-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@أموي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE	Curwa Ibn Hizam									
0037IbnMuqbil.Diwan.JK007530-ara1	ara	ara	False	0037	ابن مقبل	Ibn Muqbil	0037IbnMuqbil.Diwan	ديوان ابن مقبل	Diwan		JK007530	pri	14022	56696	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0037IbnMuqbil/0037IbnMuqbil.Diwan/0037IbnMuqbil.Diwan.JK007530-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@دواوين الشعر العربي :: JK@مخضرم :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Ibn Muqbil									
0037IbnMuqbil.Diwan.ShamAY0037879-ara1	ara	ara	False	0037	ابن مقبل :: تميم بن أبي بن مقبل	Ibn Muqbil	0037IbnMuqbil.Diwan	ديوان ابن مقبل	Diwan		ShamAY0037879	sec	12817	54631	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0037IbnMuqbil/0037IbnMuqbil.Diwan/0037IbnMuqbil.Diwan.ShamAY0037879-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@دواوين الشعر العربي :: JK@مخضرم :: born@JaziratArab_RE	Ibn Muqbil									
0040CaliIbnAbiTalib.Diwan.JK007540-ara1	ara	ara	False	0040	علي بن أبي طالب	Cali Ibn Abi Talib	0040CaliIbnAbiTalib.Diwan	ديوان علي بن أبي طالب	Diwan		JK007540	pri	8695	33158	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0040CaliIbnAbiTalib/0040CaliIbnAbiTalib.Diwan/0040CaliIbnAbiTalib.Diwan.JK007540-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@إسلامي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Cali Ibn Abi Talib									
0040CaliIbnAbiTalib.Diwan.ShamAY0037911-ara1	ara	ara	False	0040	علي بن أبي طالب الصحابي الجليل :: علي بن أبي طالب	Cali Ibn Abi Talib	0040CaliIbnAbiTalib.Diwan	ديوان علي بن أبي طالب	Diwan		ShamAY0037911	sec	7821	32253	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0040CaliIbnAbiTalib/0040CaliIbnAbiTalib.Diwan/0040CaliIbnAbiTalib.Diwan.ShamAY0037911-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@إسلامي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE	Cali Ibn Abi Talib									
0041LabidIbnRabica.Diwan.JK007538-ara2	ara	ara	False	0041	لبيد بن ربيعة العامري	Labid Ibn Rabica	0041LabidIbnRabica.Diwan	ديوان لبيد بن ربيعة العامري	Diwan		JK007538	pri	11272	45489	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0041LabidIbnRabica/0041LabidIbnRabica.Diwan/0041LabidIbnRabica.Diwan.JK007538-ara2	GAL@literature-arabic :: _SHICR :: _BALAGHA :: _MUKHADRAM :: _ADAB :: CENT0100 :: GAL@literature-national :: Shamela@الأدب والبلاغة :: JK@دواوين الشعر العربي :: JK@مخضرم :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Labid Ibn Rabica									
0041LabidIbnRabica.Diwan.Shamela0035077-ara1	ara	ara	False	0041	لبيد بن ربيعة بن مالك، أبو عقيل العامري الشاعر معدود من الصحابة (المتوفى: 41هـ)	Labid Ibn Rabica	0041LabidIbnRabica.Diwan	ديوان لبيد بن ربيعة العامري	Diwan	دار المعرفة	Shamela0035077	sec	13535	57926	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0041LabidIbnRabica/0041LabidIbnRabica.Diwan/0041LabidIbnRabica.Diwan.Shamela0035077-ara1	GAL@literature-arabic :: _SHICR :: _BALAGHA :: _MUKHADRAM :: _ADAB :: CENT0100 :: GAL@literature-national :: Shamela@الأدب والبلاغة :: JK@دواوين الشعر العربي :: JK@مخضرم :: born@JaziratArab_RE	Labid Ibn Rabica									
0041LabidIbnRabica.Mucallaqa.ShamAY0038523-ara1	ara	ara	False	0041	لبيد بن ربيعة بن مالك، أبو عقيل العامري الشاعر معدود من الصحابة :: لبيد بن ربيعة	Labid Ibn Rabica	0041LabidIbnRabica.Mucallaqa	معلقة لبيد بن ربيعة :: معلقة لبيد بن ربيعة 	Mucallaqa		ShamAY0038523	pri	784	3579	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0041LabidIbnRabica/0041LabidIbnRabica.Mucallaqa/0041LabidIbnRabica.Mucallaqa.ShamAY0038523-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Labid Ibn Rabica									
0045JarwalIbnAwsHutaya.Diwan.JK007531-ara1	ara	ara	False	0045	الحطيئة	Jarwal Ibn Aws Hutaya	0045JarwalIbnAwsHutaya.Diwan	ديوان الحطيئة	Diwan		JK007531	pri	10193	38915	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0045JarwalIbnAwsHutaya/0045JarwalIbnAwsHutaya.Diwan/0045JarwalIbnAwsHutaya.Diwan.JK007531-ara1	GAL@literature-arabic :: _SHICR :: GAL@literature-national :: _MUKHADRAM :: JK@دواوين الشعر العربي :: JK@مخضرم :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Jarwal Ibn Aws Hutaya									
0045JarwalIbnAwsHutaya.Diwan.ShamAY0037850-ara1	ara	ara	False	0045	أبو مليكة جرول بن أوس بن مالك العبسي المشهور ب الحطيئة :: الحطيئة	Jarwal Ibn Aws Hutaya	0045JarwalIbnAwsHutaya.Diwan	ديوان الحطيئة :: ديوان الحطيئة 	Diwan		ShamAY0037850	sec	9052	37715	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0045JarwalIbnAwsHutaya/0045JarwalIbnAwsHutaya.Diwan/0045JarwalIbnAwsHutaya.Diwan.ShamAY0037850-ara1	GAL@literature-arabic :: _SHICR :: GAL@literature-national :: _MUKHADRAM :: JK@دواوين الشعر العربي :: JK@مخضرم :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE	Jarwal Ibn Aws Hutaya									
0050KhirniqBintBadr.Diwan.JK007506-ara1	ara	ara	False	0050	الخرنق بنت بدر	Khirniq Bint Badr	0050KhirniqBintBadr.Diwan	ديوان الخرنق بنت بدر	Diwan		JK007506	pri	624	2395	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0050KhirniqBintBadr/0050KhirniqBintBadr.Diwan/0050KhirniqBintBadr.Diwan.JK007506-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Khirniq Bint Badr									
0050KhirniqBintBadr.Diwan.ShamAY0037827-ara1	ara	ara	False	0050	الخرنق :: الخرنق بنت بدر بن هفان	Khirniq Bint Badr	0050KhirniqBintBadr.Diwan	ديوان الخرنق بنت بدر :: ديوان الخرنق بنت بدر 	Diwan		ShamAY0037827	sec	551	2334	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0050AH/data/0050KhirniqBintBadr/0050KhirniqBintBadr.Diwan/0050KhirniqBintBadr.Diwan.ShamAY0037827-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE	Khirniq Bint Badr									